duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.533,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Volley,1,1,1.4142135623730951,0.7853981633974483,28.013999999999996,0,4.0,1,1.0,True,True,False
0.653,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Normal,0,0,15.0,0.9272952180016122,12.64,0,36.0,1,9.433981132056603,True,True,False
0.733,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,24.186773244895647,0.12435499454676144,-0.17299999999999993,0,96.0,0,8.602325267042627,True,True,False
0.6,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Volley,1,0,11.313708498984761,0.7853981633974483,12.333,1,32.0,0,5.0,True,True,False
0.52,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Half Volley,0,0,9.433981132056603,1.0121970114513341,36.040000000000006,0,20.0,0,5.0990195135927845,True,True,False
1.44,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,32.69556544854363,0.4089078289509254,7.720000000000001,1,120.0,1,12.806248474865697,True,True,False
0.813,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Normal,1,0,26.92582403567252,0.5467888408892474,8.999999999999998,0,92.0,0,10.816653826391969,True,True,False
1.24,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,other,0,0,0,Normal,0,0,25.612496949731394,0.6747409422235527,5.279999999999999,0,80.0,0,13.0,True,True,False
0.533,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,other,1,0,0,Normal,0,0,27.018512172212592,0.037020115873930025,47.293,0,108.0,2,17.46424919657298,True,True,False
1.693,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Overhead Kick,0,0,15.556349186104045,0.7853981633974483,6.3740000000000006,0,44.0,0,3.605551275463989,True,True,False
0.333,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,other,1,0,1,Normal,0,1,3.1622776601683795,1.2490457723982544,-0.333,0,4.0,0,11.045361017187261,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,1,0,Normal,0,0,21.02379604162864,1.1284221038181517,6.134,0,36.0,0,26.019223662515376,True,True,False
0.2,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,0,0,0,Volley,0,0,15.620499351813308,0.8760580505981934,11.28,0,40.0,0,9.219544457292887,True,True,False
1.133,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,27.80287754891569,0.65788860518221,24.027,1,88.0,1,17.029386365926403,True,True,False
0.56,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,1,0,Volley,0,0,13.152946437965905,1.4181469983996315,12.052999999999999,1,8.0,0,4.0,True,True,False
1.773,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,34.539832078341085,0.38588266939807375,9.227,1,128.0,1,7.810249675906654,True,True,False
1.613,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Overhead Kick,0,0,15.0,0.0,1.7070000000000003,0,60.0,0,11.045361017187261,True,True,False
0.893,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,0,0,0,Normal,0,0,8.94427190999916,0.4636476090008061,11.786999999999999,0,32.0,0,4.123105625617661,True,True,False
0.6,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,31.32091952673165,0.2914567944778671,2.32,0,120.0,1,8.06225774829855,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Half Volley,0,0,18.027756377319946,1.2315037123408519,16.279999999999998,0,24.0,0,15.033296378372908,True,True,False
0.479,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Volley,0,0,20.808652046684813,0.6146629519221656,45.160999999999994,0,68.0,2,8.06225774829855,True,True,False
1.973,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,29.0,0.7610127542247297,2.12,0,84.0,1,7.615773105863909,True,True,False
0.92,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,1,0,27.202941017470888,0.2984989315861793,16.067,0,104.0,0,7.0,True,True,False
1.68,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,27.892651361962706,0.2536740961386427,23.052999999999997,1,108.0,1,7.211102550927978,True,True,False
0.76,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Volley,0,0,28.0,0.0,0.48,0,112.0,3,13.92838827718412,True,True,False
1.2,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,0,Volley,0,0,24.041630560342615,0.29544083714372,8.413,0,92.0,1,9.219544457292887,True,True,False
1.215,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,1,32.202484376209235,0.6310793874713292,-1.215,1,104.0,1,10.295630140987,True,True,False
0.76,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,1,0,1,Normal,0,0,2.8284271247461903,0.7853981633974483,12.08,0,8.0,0,10.770329614269007,True,True,False
0.16,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,20.223748416156685,0.14888994760949725,24.733,0,80.0,0,5.0,True,True,False
2.133,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,41.593268686170845,0.16910122600137706,-0.15999999999999992,1,164.0,1,8.06225774829855,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,other,0,1,0,Normal,0,0,15.231546211727817,1.1659045405098132,37.398999999999994,0,24.0,0,14.317821063276353,True,True,False
